Contact Developer,Verfified by developer,Investment (USD Million),Developersorted ascending,Developersorted ascendingDeveloper Category,Planned COD,Unnamed: 1,Developer Category,Project Status,State,Project Name,source
Contact,--,1.48,Mann Residency Pvt. Ltd.,Mann Residency Pvt. Ltd.Private,--,,Private,Permitting,Haryana,CBG Plant Palwal,biogas
Contact,--,1.48,Mann Residency Pvt. Ltd.,Mann Residency Pvt. Ltd.Private,--,,Private,Permitting,Haryana,CBG Plant Sonipat,biogas
Contact,--,1.48,Mann Residency Pvt. Ltd.,Mann Residency Pvt. Ltd.Private,--,,Private,Permitting,Haryana,CBG plant Panipat,biogas
Contact,--,1.48,Mann Residency Pvt. Ltd.,Mann Residency Pvt. Ltd.Private,--,,Private,Permitting,Haryana,CBG Plant Yamuna Nagar,biogas
Contact,--,5.93,Manuka Green Energy Private Limited,Manuka Green Energy Private LimitedPrivate,--,,Private,Permitting,Telangana,MANUKA GREEN ENERGY PVT LTD CBG PLANT,biogas
Contact,--,3.32,Masuda Agro Private Limited,Masuda Agro Private LimitedPrivate,--,,Private,Permitting,Rajasthan,Masuda Agro Private Limited,biogas
Contact,--,1.48,Mayukh BIO-CNG,Mayukh BIO-CNGPrivate,--,,Private,Permitting,Gujarat,Mayukh BIO-CNG,biogas
Contact,--,7.7,Mekalsuta Sugars Pvt Ltd,Mekalsuta Sugars Pvt LtdPrivate,--,,Private,Under Construction,Madhya Pradesh,Mekalsuta Sugars Pvt Ltd,biogas
Contact,--,0.02,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Under Construction,Arunachal Pradesh,30 cum cattle dung based bio gas plant,biogas
Contact,--,0.01,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,10 cum Cattle dung based Biogas Plant,biogas
Contact,--,0.02,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,30 cum Cattle dung based biogas plant,biogas
Contact,--,0.02,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,30 cum cattle dung based biogas plant,biogas
Contact,--,0.01,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,20 cum cattle dung based biogas plant,biogas
Contact,--,0.01,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,10 cum cattledung based biogas plant,biogas
Contact,--,0.01,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,10 cum cattle dung based biogas plant,biogas
Contact,--,0.02,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,26 cum cattle dung based biogas plant,biogas
Contact,--,0.01,Mission Directorate SBMG Assam,Mission Directorate SBMG AssamPSU,--,,PSU,Permitting,Arunachal Pradesh,10 cubic community Biogas plant,biogas
Contact,--,1.19,Ms. Wagh BIO-Energy & Agro Allied Industries,Ms. Wagh BIO-Energy & Agro Allied IndustriesPrivate,--,,Private,Permitting,Maharashtra,Ms. Wagh BIO-Energy & Agro Allied Industries,biogas
Contact,--,2.96,Mukherjee Biogas,Mukherjee BiogasPrivate,--,,Private,Permitting,West Bengal,Mukherjee Biogas,biogas
Contact,--,1.78,Mukta Bioenergy Private Limited,Mukta Bioenergy Private LimitedPrivate,--,,Private,Permitting,Odisha,MBPL,biogas
Contact,--,0.36,Municipal Corporation Abohar,Municipal Corporation AboharPSU,--,,PSU,Permitting,Punjab,Selection of Concessionaire for Execution/Installation and Operation & Maintenance of Waste to CBG (,biogas
Contact,--,20.74,Municipal Corporation Abohar,Municipal Corporation AboharPSU,--,,PSU,Permitting,Punjab,CBG Plant,biogas
Contact,--,174.22,Municipal Corporation Amritsar,Municipal Corporation AmritsarPSU,--,,PSU,Permitting,Punjab,Bio-CNG Plant,biogas
Contact,--,23.7,Municipal Corporation Batala,Municipal Corporation BatalaPSU,--,,PSU,Permitting,Punjab,Bio-Methanation Plant,biogas
Contact,--,11.85,Municipal Corporation Chandigarh,Municipal Corporation ChandigarhPSU,--,,PSU,Permitting,Chandigarh,"Integrated Municipal Solid Waste Processing Facility at Dadu Majra, Chandigarh",biogas
Contact,--,82.96,Municipal Corporation Jalandhar,Municipal Corporation JalandharPSU,--,,PSU,Permitting,Punjab,Bio-Methanation Plant,biogas
Contact,--,19.56,Municipal Corporation Moga,Municipal Corporation MogaPSU,--,,PSU,Permitting,Punjab,CBG Plant,biogas
Contact,--,17.78,Municipal Corporation Pathankot,Municipal Corporation PathankotPSU,--,,PSU,Permitting,Punjab,Bio-Methanation Plant,biogas
Contact,--,35.56,Municipal Corporation Patiala,Municipal Corporation PatialaPSU,--,,PSU,Permitting,Punjab,CBG Palnt,biogas
Contact,--,17.78,Municipal Corporation Phagwara,Municipal Corporation PhagwaraPSU,--,,PSU,Permitting,Punjab,Bio-Methanation Plant from MSW,biogas
Contact,--,23.7,Municipal Council Khanna,Municipal Council KhannaPSU,--,,PSU,Permitting,Punjab,CBG Plant,biogas
Contact,--,1.78,Murari lal maheshwari & co.,Murari lal maheshwari & co.Private,--,,Private,Permitting,Punjab,Murari Gas,biogas
Contact,--,1.78,Mushroom World Umbrella Ltd,Mushroom World Umbrella LtdPrivate,--,,Private,Permitting,Madhya Pradesh,Mushroom World Umbrella Limited,biogas
Contact,--,3.56,Mushroom World Umbrella Ltd,Mushroom World Umbrella LtdPrivate,--,,Private,Permitting,Madhya Pradesh,Mushroom World Umbrella Ltd,biogas
Contact,--,1.19,Mysmart Indulink Private Limited,Mysmart Indulink Private LimitedPrivate,--,,Private,Permitting,Maharashtra,CBG Plant MIDC Gadhinglaj,biogas
Contact,--,0.15,NATUREWIST RENEWABLES PRIVATE LIMITED,NATUREWIST RENEWABLES PRIVATE LIMITEDPrivate,--,,Private,Permitting,Maharashtra,Satchidanand BioGas,biogas
Contact,--,5.93,NEXGEN GREEN FUELS PRIVATE LIMITED,NEXGEN GREEN FUELS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Gujarat,NEXGEN CBG PLANT,biogas
Contact,--,3.56,NRS Bio Fuel Energies LLP,NRS Bio Fuel Energies LLPPrivate,--,,Private,Permitting,Uttar Pradesh,6 TPD Compressed Biogas Plant,biogas
Contact,--,1.42,NYSSA CORPORATION LIMITED,NYSSA CORPORATION LIMITEDPrivate,--,,Private,Permitting,Punjab,NYSSA CORPORATION LIMITED,biogas
Contact,--,1.19,Nadipalla Energy OPC private Limited,Nadipalla Energy OPC private LimitedPrivate,--,,Private,Permitting,Andhra Pradesh,CBG plant under SATAT program for Nadipalla Energy OPC private Limited,biogas
Contact,--,0.59,Nagercoil City Municipal Corporation,Nagercoil City Municipal CorporationPSU,--,,PSU,Permitting,Tamil Nadu,BioCNG Plant Nagercoil Puliyadi,biogas
Contact,--,17.78,Nagpur Municipal Corporation,Nagpur Municipal CorporationPSU,--,,PSU,Permitting,Maharashtra,"Design, Supply, Installation, Commissioning of Integrated Solid Waste Processing & Disposal Plant of",biogas
Contact,--,0.74,Nahal Poultry Farm,Nahal Poultry FarmPrivate,--,,Private,Under Construction,Punjab,Biogas plant,biogas
Contact,--,2.96,Namostu Cleanfuels Private Limited,Namostu Cleanfuels Private LimitedPrivate,--,,Private,Permitting,Rajasthan,Namostu Cleanfuels CBG Plant,biogas
Contact,--,3.56,Narmada Rajhans Green Energy Private Limited,Narmada Rajhans Green Energy Private LimitedPrivate,--,,Private,Permitting,Madhya Pradesh,Narmada Rajhans Green Energy,biogas
Contact,--,7.7,Narmada Sugar Pvt Ltd,Narmada Sugar Pvt LtdPrivate,--,,Private,Under Construction,Madhya Pradesh,Narmada Sugar Pvt. Ltd.,biogas
Contact,--,2.96,Natural Biofertilizer Private Limited,Natural Biofertilizer Private LimitedPrivate,--,,Private,Permitting,Maharashtra,Natural Cbg Plant,biogas
Contact,--,2.96,Navyoday Bharat Enterprises,Navyoday Bharat EnterprisesPrivate,--,,Private,Permitting,Uttar Pradesh,Navyoday Bharat Enterprises,biogas
Contact,--,0.01,New era farms,New era farmsPrivate,--,,Private,Permitting,Haryana,New era farms,biogas
Contact,--,0.13,Ngachansing Raising enterprise,Ngachansing Raising enterprisePrivate,--,,Private,Permitting,Manipur,Clean Energy project,biogas
Contact,--,2.96,Niblue Business Private Limited,Niblue Business Private LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Orai Bio Conversion Project,biogas
Contact,--,11.85,Nizamabad Municipal corporation,Nizamabad Municipal corporationPSU,--,,PSU,Permitting,Telangana,Compressed bio gas plant,biogas
Contact,--,7.11,Nobleexchange environment solutions bangalore pvt ltd,Nobleexchange environment solutions bangalore pvt ltdPrivate,--,,Private,Under Construction,Karnataka,NobleExchange Environment Solutions Bangalore Pvt. Ltd.,biogas
Contact,--,4.15,Nortech Biofuels Pvt. Ltd.,Nortech Biofuels Pvt. Ltd.Private,--,,Private,Permitting,Bihar,Nortech Biofuels,biogas
Contact,--,1.19,Nxgen Green Energy Producers,Nxgen Green Energy ProducersPrivate,--,,Private,Permitting,Maharashtra,Nxgen Green Energy Producers CBG,biogas
Contact,--,6.81,OKHLA RNG PRIVATE LIMITED,OKHLA RNG PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Delhi,Okhla RNG Pvt. Ltd.,biogas
Contact,--,3.56,OPLUS AGROVET PRODUCER COMPANY LIMITED,OPLUS AGROVET PRODUCER COMPANY LIMITEDPrivate,--,,Private,Permitting,Maharashtra,OPLUS AGROVET PRODUCER COMPANY LIMITED,biogas
Contact,--,0.01,"Office of the Block Development Officer,Kalimpong-I","Office of the Block Development Officer,Kalimpong-IPSU",--,,PSU,Under Construction,West Bengal,"Design,Development,Installation and Commissioning of a Biogas Plant of 10 Cum capacity under GOBAR-D",biogas
Contact,--,3.56,Omerga Natural Gas Energy,Omerga Natural Gas EnergyPrivate,--,,Private,Under Construction,Maharashtra,Omerga Natural Gas Energy,biogas
Contact,--,3.32,Orgafuels And Energy Private Limited,Orgafuels And Energy Private LimitedPrivate,--,,Private,Permitting,Punjab,Jalandhar Distt Orgafuels and Energy Private Limited,biogas
Contact,--,2.84,PANCHVATI FOODS,PANCHVATI FOODSPrivate,--,,Private,Under Construction,Uttar Pradesh,PANCHVATI FOODS,biogas
Contact,--,1.78,PARTNERSHIP,PARTNERSHIPPrivate,--,,Private,Permitting,Madhya Pradesh,Atharv Natural Energy & Fertilizer,biogas
Contact,--,5.84,PEARL INDIA MARKETING SERVICES PRIVATE LIMITED,PEARL INDIA MARKETING SERVICES PRIVATE LIMITEDPrivate,--,,Private,Permitting,Chhattisgarh,BIOMASS PELLET,biogas
Contact,--,5.93,PECS INFRA PRIVATE LIMITED,PECS INFRA PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Uttar Pradesh,"PECS INFRA PRIVATE LIMITED CBG , ORGANIC FERTILISER AND LIQUID GREEN CO2 (FOOD GRADE) PROJECT.",biogas
Contact,--,5.93,PES RENEWABLES PRIVATE LIMITED,PES RENEWABLES PRIVATE LIMITEDPrivate,--,,Private,Permitting,Punjab,FIROZPUR COMPRESSED BIO GAS PROJECT,biogas
Contact,--,3.61,PITAMBARA BHARAT BIO FUELS PVT LTD,PITAMBARA BHARAT BIO FUELS PVT LTDPrivate,--,,Private,Permitting,Uttar Pradesh,COMPRESSED BIOGAS PLANT,biogas
Contact,--,7.59,PKLS INDUSTRIES PRIVATE LIMITED,PKLS INDUSTRIES PRIVATE LIMITEDPrivate,--,,Private,Permitting,Uttar Pradesh,PKLS CBG & BIOCOAL,biogas
Contact,--,4.44,PN GRO BIOFUELS Private LTD,PN GRO BIOFUELS Private LTDPrivate,--,,Private,Permitting,Telangana,CBG plant,biogas
Contact,--,0.01,PR ENTERPRISE,PR ENTERPRISEPrivate,--,,Private,Permitting,Arunachal Pradesh,BIO GAS,biogas
Contact,--,0.01,PR&RD,PR&RDPSU,--,,PSU,Under Construction,Telangana,Bio Gas plant Pembatla,biogas
Contact,--,1.78,PRABHU BIO ENERGY,PRABHU BIO ENERGYPrivate,--,,Private,Permitting,Haryana,BIO CBG and FERTILIZER PLANT,biogas
Contact,--,59.26,PROTICKS GREENTECH PRIVATE LIMITED,PROTICKS GREENTECH PRIVATE LIMITEDPrivate,--,,Private,Permitting,Gujarat,PROTICKS GREENTECH JAMNAGAR,biogas
Contact,--,2.96,Paliwal Bio Energy Pvt ltd,Paliwal Bio Energy Pvt ltdPrivate,--,,Private,Under Construction,Madhya Pradesh,PALIWAL BIO ENERGY PVT LTD,biogas
Contact,--,5.69,Panj Aab Bio Fuel and Fertilizers Pvt Ltd,Panj Aab Bio Fuel and Fertilizers Pvt LtdPrivate,--,,Private,Permitting,Punjab,Panj Aab Bio Fuel & Fertilizers Pvt Ltd,biogas
Contact,--,2.37,Parbhani Agrotech Privte Limited,Parbhani Agrotech Privte LimitedPrivate,--,,Private,Permitting,Maharashtra,Pbnagro Ranjani Bio CNG Plant,biogas
Contact,--,0.02,Paschim Medinipur Zilla Parishad,Paschim Medinipur Zilla ParishadPSU,--,,PSU,Under Construction,West Bengal,Gobardhan project,biogas
Contact,--,5.93,Patiala Bio Gas Private Limited,Patiala Bio Gas Private LimitedPrivate,--,,Private,Permitting,Punjab,PATIALA BIO GAS COMPRESSED BIO GAS PROJECT,biogas
Contact,--,2.96,Patil Enterprises,Patil EnterprisesPrivate,--,,Private,Permitting,Maharashtra,Patil Enterprises,biogas
Contact,--,1.78,Patna Municipal Corporation,Patna Municipal CorporationPSU,--,,PSU,Permitting,Bihar,100 TPD CBG Plant,biogas
Contact,--,10.07,Pimpri Chinchwad Municipal Corporation,Pimpri Chinchwad Municipal CorporationPrivate,--,,Private,Permitting,Maharashtra,Biomethanation Plant at Punawale,biogas
Contact,--,1.19,Plim Biotech Private limited,Plim Biotech Private limitedPrivate,--,,Private,Under Construction,Gujarat,Plim Biotech Private limited,biogas
Contact,--,2.96,Positive Engineering,Positive EngineeringPrivate,--,,Private,Permitting,Maharashtra,Positive BIO CNG plant,biogas
Contact,--,14.81,Potencial Tech Solutions Private Limited,Potencial Tech Solutions Private LimitedPrivate,--,,Private,Permitting,Telangana,EcoGas Renewables,biogas
Contact,--,--,Prakritir Abha Organic Initiative,Prakritir Abha Organic InitiativePrivate,--,,Private,Permitting,West Bengal,PAOI GREEN ENERGY,biogas
Contact,--,3.85,Pravasha EnviroTech Private Limited,Pravasha EnviroTech Private LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,PRAVASHA CBG UNIT GORAKHPUR,biogas
Contact,--,2.96,Precise Chems,Precise ChemsPrivate,--,,Private,Permitting,Madhya Pradesh,GouDhan,biogas
Contact,--,0.22,Priyo Agro Biotech,Priyo Agro BiotechPrivate,--,,Private,Permitting,West Bengal,Priyo Agro Biotech,biogas
Contact,--,5.93,Punjab Energy Development Agency,Punjab Energy Development AgencyPrivate,--,,Private,Under Construction,Punjab,Panjab Bio Fuel and Fertilizers (P) LTD.,biogas
Contact,--,0.04,Purulia Zilla Parishad,Purulia Zilla ParishadPSU,--,,PSU,Under Construction,West Bengal,LATULIA GOBARDHAN PROJECT,biogas
Contact,--,3.56,Quest Engineers and Consultants Pvt. Ltd.,Quest Engineers and Consultants Pvt. Ltd.Private,--,,Private,Permitting,Uttar Pradesh,Compressed Bio Gas Plant,biogas
Contact,--,1.19,R H ENERGY,R H ENERGYPrivate,--,,Private,Permitting,Madhya Pradesh,R H ENERGY,biogas
Contact,--,5.93,R.K. ENTERIPRISE,R.K. ENTERIPRISEPrivate,--,,Private,Under Construction,Arunachal Pradesh,R.K. ENTERPRISE,biogas
Contact,--,5.93,RA ENTERPRISES,RA ENTERPRISESPrivate,--,,Private,Permitting,Rajasthan,Tashvi Bio CNG Plant,biogas
Contact,--,14.22,RAINBOW FOOD PRODUCTS PRIVATE LIMITED,RAINBOW FOOD PRODUCTS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Telangana,RAINBOW FOOD PRODUCTS PRIVATE LIMITED,biogas
Contact,--,0.59,RAITHYODHYAMI GREEN ENERGY PVT LTD,RAITHYODHYAMI GREEN ENERGY PVT LTDPrivate,--,,Private,Under Construction,Karnataka,RAITHYODHYAMI GREEN ENERGY PRIVATE LIMITED,biogas
Contact,--,5.93,RAJ NARAYAN INDUSTRY LLP,RAJ NARAYAN INDUSTRY LLPPrivate,--,,Private,Under Construction,Uttar Pradesh,Raj Narayan Industry LLP,biogas
Contact,--,4.15,RAJPUT BIO CNG MANURE PRIVATE LIMITED,RAJPUT BIO CNG MANURE PRIVATE LIMITEDPrivate,--,,Private,Permitting,Uttar Pradesh,RAJPUT BIO CNG MANURE PRIVATE LIMITED,biogas
Contact,--,0.04,RAJSHEKHAR DAIRY FARM,RAJSHEKHAR DAIRY FARMPrivate,--,,Private,Permitting,Maharashtra,RAJSHEKHAR DAIRY AFRM,biogas
Contact,--,8.89,RELIANCE CHEMICALS AND MATERIALS LIMITED,RELIANCE CHEMICALS AND MATERIALS LIMITEDPrivate,--,,Private,Under Construction,Gujarat,Vadodara CBG Plant,biogas
Contact,--,11.85,RELIANCE CHEMICALS AND MATERIALS LIMITED,RELIANCE CHEMICALS AND MATERIALS LIMITEDPrivate,--,,Private,Under Construction,Punjab,Hoshiarpur CBG Plant,biogas
Contact,--,3.79,RENEW BIOENERGY PRIVATE LIMITED,RENEW BIOENERGY PRIVATE LIMITEDPrivate,--,,Private,Permitting,Punjab,"CBG BOTTLING & BIO-FERTILIZER PLANT, TAJPUR DAIRY COMPLEX, LUDHIANA",biogas
Contact,--,2.84,RENEW BIOENERGY PRIVATE LIMITED,RENEW BIOENERGY PRIVATE LIMITEDPrivate,--,,Private,Permitting,Punjab,RENEW BIOENERGY PRIVATE LIMITED,biogas
Contact,--,1.48,REVERENT TECHNOLOGIES PRIVATE LIMITED,REVERENT TECHNOLOGIES PRIVATE LIMITEDPrivate,--,,Private,Permitting,Uttar Pradesh,REVERENT TECHNOLOGIES PVT LTD,biogas
Contact,--,14.81,RK BioEnergy Private Limited,RK BioEnergy Private LimitedPrivate,--,,Private,Permitting,Maharashtra,Solapur CBG Plant,biogas
Contact,--,29.63,RUDRAPUR GREEN ENERGY PRIVATE LIMITED,RUDRAPUR GREEN ENERGY PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Uttarakhand,Rudrapur CBG Plant,biogas
Contact,--,2.96,Raasi Technologies Private Limited,Raasi Technologies Private LimitedPrivate,--,,Private,Permitting,Tamil Nadu,Raasi Bio Fuels,biogas
Contact,--,2.96,Raghuvanshi Agro Chemical And Bio Fuel Pvt Ltd,Raghuvanshi Agro Chemical And Bio Fuel Pvt LtdPrivate,--,,Private,Permitting,Punjab,RAGHUVANSHI AGRO CHEMICAL AND BIO FUEL PRIVATE LIMITED,biogas
Contact,--,0.04,Raiganj Development Block,Raiganj Development BlockPSU,--,,PSU,Under Construction,West Bengal,Kulik Nirmal Uddyan Biogas plant,biogas
Contact,--,3.56,Raj Rajeshwari GMT,Raj Rajeshwari GMTPrivate,--,,Private,Permitting,Madhya Pradesh,Green Ananta Gas & Energy Pvt Ltd,biogas
Contact,--,--,Rajani,RajaniPrivate,--,,Private,Permitting,Uttar Pradesh,Rajani Gobar Plant,biogas
Contact,--,2.96,Rajviz Private Limited,Rajviz Private LimitedPrivate,--,,Private,Permitting,Maharashtra,Rajviz Bio Fuels,biogas
Contact,--,7.11,Rama Coke Private Limited,Rama Coke Private LimitedPrivate,--,,Private,Permitting,Arunachal Pradesh,RAMA COKE PRIVATE LIMITED,biogas
Contact,--,7.11,Ramahanuman Bio Renewable Energy Pvt Ltd,Ramahanuman Bio Renewable Energy Pvt LtdPrivate,--,,Private,Permitting,Uttar Pradesh,Ramahanuman Bio Renewable Energy Pvt Ltd,biogas
Contact,--,5.93,Regeos Private Limited,Regeos Private LimitedPrivate,--,,Private,Permitting,Bihar,Regeos Private Limited,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Madhya Pradesh,Satna CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Punjab,Ludhiana CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Maharashtra,Solapur CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Maharashtra,Nagothane CBG Plant,biogas
Contact,--,12.44,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Andhra Pradesh,Rajahmundry-1 CBG Plant,biogas
Contact,--,12.44,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Andhra Pradesh,Rajahmundry 2 CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Punjab,Barnala CBG Plant,biogas
Contact,--,13.33,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Andhra Pradesh,Kakinada 2 CBG Plant,biogas
Contact,--,13.33,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Andhra Pradesh,Kakinada 3 CBG Plant,biogas
Contact,--,12.44,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Andhra Pradesh,Nellore CBG Plant,biogas
Contact,--,13.33,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Andhra Pradesh,Kakinada 1 CBG Plant,biogas
Contact,--,12.44,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Andhra Pradesh,Vijayawada CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Punjab,Ludhiana-2 CBG Plant,biogas
Contact,--,12.44,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Andhra Pradesh,Kurnool CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Maharashtra,Malegaon CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Punjab,Mansa CBG Plant,biogas
Contact,--,13.33,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Rajasthan,Suratgarh CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Uttar Pradesh,Hapur CBG Plant,biogas
Contact,--,13.33,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Haryana,METC J-Expansion CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Chhattisgarh,Raipur CBG Plant,biogas
Contact,--,13.33,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Haryana,Jind CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Maharashtra,Nagpur CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Maharashtra,Kurkumbh CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Haryana,Jhajjar CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Chandauli CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Jaunpur CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Pilibhit CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Unnao CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Ayodhya CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Maharashtra,Akola CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Maharashtra,Yawatmal CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Gujarat,Surat (Navsari) CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Haryana,Hisar CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Gujarat,Surat (Navsari-2) CBG Plant,biogas
Contact,--,12.44,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Telangana,Warangal CBG Plant,biogas
Contact,--,12.44,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Telangana,Hyderabad CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Madhya Pradesh,Seoni CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Madhya Pradesh,Jabalpur CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Odisha,Choudwar CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Odisha,Dhenkanal CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Maharashtra,Nanded CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Madhya Pradesh,Indore CBG Plant,biogas
Contact,--,13.33,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Madhya Pradesh,Bhopal CBG Plant,biogas
Contact,--,13.04,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Rajasthan,Kota CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Under Construction,Madhya Pradesh,Balaghat CBG Plant,biogas
Contact,--,11.85,Reliance Bio Energy Limited,Reliance Bio Energy LimitedPrivate,--,,Private,Permitting,Chhattisgarh,Bilaspur CBG Plant,biogas
Contact,--,11.85,Reliance Industries Limited,Reliance Industries LimitedPrivate,--,,Private,Under Construction,Uttar Pradesh,Prayagraj CBG Plant,biogas
Contact,--,1.78,Renefuels Energy solution llp,Renefuels Energy solution llpPrivate,--,,Private,Permitting,Uttar Pradesh,Renefuels Bhopa CBG cum fertiliser plant,biogas
Contact,--,0.06,Rural Development Department,Rural Development DepartmentPrivate,--,,Private,Under Construction,Himachal Pradesh,Gayatri Gosadan village Bherta GP Lohara Block Fatehpur Distt. Kangra,biogas
